index,lat,lon,depth
9.4200000e+02, 4.5202300e+01,-1.2396715e+02, 7.0664978e+00
9.4300000e+02, 4.5202294e+01,-1.2396717e+02, 6.9669016e+00
9.4400000e+02, 4.5202289e+01,-1.2396720e+02, 6.8099393e+00
9.4500000e+02, 4.5202283e+01,-1.2396722e+02, 6.6933908e+00
9.4600000e+02, 4.5202278e+01,-1.2396725e+02, 6.5159228e+00
9.4700000e+02, 4.5202272e+01,-1.2396727e+02, 6.3903975e+00
9.4800000e+02, 4.5202266e+01,-1.2396730e+02, 6.2031709e+00
9.4900000e+02, 4.5202261e+01,-1.2396732e+02, 6.0773424e+00
9.5000000e+02, 4.5202255e+01,-1.2396735e+02, 5.8929841e+00
9.5100000e+02, 4.5202250e+01,-1.2396737e+02, 5.7729777e+00
9.5200000e+02, 4.5202244e+01,-1.2396740e+02, 5.6024799e+00
9.5300000e+02, 4.5202238e+01,-1.2396742e+02, 5.4948945e+00
9.5400000e+02, 4.5202233e+01,-1.2396745e+02, 5.3495134e+00
9.5500000e+02, 4.5202227e+01,-1.2396747e+02, 5.2619859e+00
9.5600000e+02, 4.5202221e+01,-1.2396750e+02, 5.1510339e+00
9.5700000e+02, 4.5202216e+01,-1.2396752e+02, 5.0907570e+00
9.5800000e+02, 4.5202210e+01,-1.2396755e+02, 5.0249517e+00
9.5900000e+02, 4.5202205e+01,-1.2396757e+02, 4.9981105e+00
9.6000000e+02, 4.5202199e+01,-1.2396759e+02, 4.9859167e+00
9.6100000e+02, 4.5202193e+01,-1.2396762e+02, 5.0000996e+00
9.6200000e+02, 4.5202188e+01,-1.2396764e+02, 5.0310268e+00
9.6300000e+02, 4.5202182e+01,-1.2396767e+02, 5.1117682e+00
9.6400000e+02, 4.5202177e+01,-1.2396769e+02, 5.1852227e+00
9.6500000e+02, 4.5202171e+01,-1.2396772e+02, 5.3242234e+00
9.6600000e+02, 4.5202165e+01,-1.2396774e+02, 5.4313723e+00
9.6700000e+02, 4.5202160e+01,-1.2396777e+02, 5.6183656e+00
9.6800000e+02, 4.5202154e+01,-1.2396779e+02, 5.7527882e+00
9.6900000e+02, 4.5202149e+01,-1.2396782e+02, 5.9761525e+00
9.7000000e+02, 4.5202143e+01,-1.2396784e+02, 6.1310187e+00
9.7100000e+02, 4.5202137e+01,-1.2396787e+02, 6.3790085e+00
9.7200000e+02, 4.5202132e+01,-1.2396789e+02, 6.5490881e+00
9.7300000e+02, 4.5202126e+01,-1.2396792e+02, 6.8129191e+00
9.7400000e+02, 4.5202120e+01,-1.2396794e+02, 6.9888159e+00
9.7500000e+02, 4.5202115e+01,-1.2396797e+02, 7.2598219e+00
9.7600000e+02, 4.5202109e+01,-1.2396799e+02, 7.4363840e+00
9.7700000e+02, 4.5202104e+01,-1.2396801e+02, 7.6126973e+00
9.7800000e+02, 4.5202098e+01,-1.2396804e+02, 7.8735568e+00
9.7900000e+02, 4.5202092e+01,-1.2396806e+02, 8.0399804e+00
9.8000000e+02, 4.5202087e+01,-1.2396809e+02, 8.2833057e+00
9.8100000e+02, 4.5202081e+01,-1.2396811e+02, 8.4342325e+00
9.8200000e+02, 4.5202076e+01,-1.2396814e+02, 8.6482469e+00
9.8300000e+02, 4.5202070e+01,-1.2396816e+02, 8.7766107e+00
9.8400000e+02, 4.5202064e+01,-1.2396819e+02, 8.9510364e+00
9.8500000e+02, 4.5202059e+01,-1.2396821e+02, 9.0616078e+00
9.8600000e+02, 4.5202053e+01,-1.2396824e+02, 9.2266725e+00
9.8700000e+02, 4.5202048e+01,-1.2396826e+02, 9.3349672e+00
9.8800000e+02, 4.5202042e+01,-1.2396829e+02, 9.4952372e+00
9.8900000e+02, 4.5202036e+01,-1.2396831e+02, 9.5994803e+00
9.9000000e+02, 4.5202031e+01,-1.2396834e+02, 9.7528603e+00
9.9100000e+02, 4.5202025e+01,-1.2396836e+02, 9.8517297e+00
9.9200000e+02, 4.5202020e+01,-1.2396839e+02, 9.9956703e+00
9.9300000e+02, 4.5202014e+01,-1.2396841e+02, 1.0087570e+01
9.9400000e+02, 4.5202008e+01,-1.2396843e+02, 1.0176247e+01
9.9500000e+02, 4.5202003e+01,-1.2396846e+02, 1.0303392e+01
9.9600000e+02, 4.5201997e+01,-1.2396848e+02, 1.0383034e+01
9.9700000e+02, 4.5201991e+01,-1.2396851e+02, 1.0495667e+01
9.9800000e+02, 4.5201986e+01,-1.2396853e+02, 1.0565296e+01
9.9900000e+02, 4.5201980e+01,-1.2396856e+02, 1.0661984e+01
1.0000000e+03, 4.5201975e+01,-1.2396858e+02, 1.0720422e+01
1.0010000e+03, 4.5201969e+01,-1.2396861e+02, 1.0799859e+01
1.0020000e+03, 4.5201963e+01,-1.2396863e+02, 1.0845860e+01
1.0030000e+03, 4.5201958e+01,-1.2396866e+02, 1.0907565e+01
1.0040000e+03, 4.5201952e+01,-1.2396868e+02, 1.0941032e+01
1.0050000e+03, 4.5201947e+01,-1.2396871e+02, 1.0983981e+01
1.0060000e+03, 4.5201941e+01,-1.2396873e+02, 1.1004701e+01
1.0070000e+03, 4.5201935e+01,-1.2396876e+02, 1.1025863e+01
1.0080000e+03, 4.5201930e+01,-1.2396878e+02, 1.1030904e+01
1.0090000e+03, 4.5201924e+01,-1.2396881e+02, 1.1027670e+01
1.0100000e+03, 4.5201919e+01,-1.2396883e+02, 1.1017774e+01
1.0110000e+03, 4.5201913e+01,-1.2396885e+02, 1.1002120e+01
1.0120000e+03, 4.5201907e+01,-1.2396888e+02, 1.0971091e+01
1.0130000e+03, 4.5201902e+01,-1.2396890e+02, 1.0944419e+01
1.0140000e+03, 4.5201896e+01,-1.2396893e+02, 1.0897603e+01
1.0150000e+03, 4.5201890e+01,-1.2396895e+02, 1.0861216e+01
1.0160000e+03, 4.5201885e+01,-1.2396898e+02, 1.0802045e+01
1.0170000e+03, 4.5201879e+01,-1.2396900e+02, 1.0758328e+01
1.0180000e+03, 4.5201874e+01,-1.2396903e+02, 1.0689240e+01
1.0190000e+03, 4.5201868e+01,-1.2396905e+02, 1.0639978e+01
1.0200000e+03, 4.5201862e+01,-1.2396908e+02, 1.0563440e+01
1.0210000e+03, 4.5201857e+01,-1.2396910e+02, 1.0510440e+01
1.0220000e+03, 4.5201851e+01,-1.2396913e+02, 1.0429112e+01
1.0230000e+03, 4.5201846e+01,-1.2396915e+02, 1.0373702e+01
1.0240000e+03, 4.5201840e+01,-1.2396918e+02, 1.0289896e+01
1.0250000e+03, 4.5201834e+01,-1.2396920e+02, 1.0233361e+01
1.0260000e+03, 4.5201829e+01,-1.2396923e+02, 1.0149522e+01
1.0270000e+03, 4.5201823e+01,-1.2396925e+02, 1.0093459e+01
1.0280000e+03, 4.5201818e+01,-1.2396927e+02, 1.0038241e+01
1.0290000e+03, 4.5201812e+01,-1.2396930e+02, 9.9544368e+00
1.0300000e+03, 4.5201806e+01,-1.2396932e+02, 9.8918240e+00
1.0310000e+03, 4.5201801e+01,-1.2396935e+02, 9.7905265e+00
1.0320000e+03, 4.5201795e+01,-1.2396937e+02, 9.7166369e+00
1.0330000e+03, 4.5201790e+01,-1.2396940e+02, 9.6008346e+00
1.0340000e+03, 4.5201784e+01,-1.2396942e+02, 9.5185915e+00
1.0350000e+03, 4.5201778e+01,-1.2396945e+02, 9.3921358e+00
1.0360000e+03, 4.5201773e+01,-1.2396947e+02, 9.3050580e+00
1.0370000e+03, 4.5201767e+01,-1.2396950e+02, 9.1728856e+00
1.0380000e+03, 4.5201761e+01,-1.2396952e+02, 9.0831153e+00
1.0390000e+03, 4.5201756e+01,-1.2396955e+02, 8.9499606e+00
1.0400000e+03, 4.5201750e+01,-1.2396957e+02, 8.8607874e+00
1.0410000e+03, 4.5201745e+01,-1.2396960e+02, 8.7303129e+00
1.0420000e+03, 4.5201739e+01,-1.2396962e+02, 8.6444841e+00
1.0430000e+03, 4.5201733e+01,-1.2396965e+02, 8.5204012e+00
1.0440000e+03, 4.5201728e+01,-1.2396967e+02, 8.4406284e+00
1.0450000e+03, 4.5201722e+01,-1.2396970e+02, 8.3267904e+00
1.0460000e+03, 4.5201717e+01,-1.2396972e+02, 8.2550080e+00
1.0470000e+03, 4.5201711e+01,-1.2396974e+02, 8.1869400e+00
1.0480000e+03, 4.5201705e+01,-1.2396977e+02, 8.0925859e+00
1.0490000e+03, 4.5201700e+01,-1.2396979e+02, 8.0350575e+00
1.0500000e+03, 4.5201694e+01,-1.2396982e+02, 7.9575070e+00
1.0510000e+03, 4.5201689e+01,-1.2396984e+02, 7.9129661e+00
1.0520000e+03, 4.5201683e+01,-1.2396987e+02, 7.8699609e+00
1.0530000e+03, 4.5201677e+01,-1.2396989e+02, 7.8549615e+00
1.0540000e+03, 4.5201672e+01,-1.2396992e+02, 7.8512308e+00
1.0550000e+03, 4.5201666e+01,-1.2396994e+02, 7.8560015e+00
1.0560000e+03, 4.5201660e+01,-1.2396997e+02, 7.8746228e+00
1.0570000e+03, 4.5201655e+01,-1.2396999e+02, 7.8897733e+00
1.0580000e+03, 4.5201649e+01,-1.2397002e+02, 7.9164733e+00
1.0590000e+03, 4.5201644e+01,-1.2397004e+02, 7.9316512e+00
